"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"J35","TO TAI","YIP Hing-kwok","","M","District Councillor","","2/10/2015","","YIP HING KWOK"
"J36","LOK WAH NORTH","FUNG Kam-yuen","","M","Elected District Councillor","*Independent Candidate","7/10/2015","","FUNG KAM YUEN"
"J36","LOK WAH NORTH","WONG Chi-ken","","M","","Kowloon East Community","15/10/2015","","WONG CHI KEN"
"J37","LOK WAH SOUTH","LEE Ka-hang","","M","Policy Researcher","FTU","2/10/2015","","LEE KA HANG"
"J37","LOK WAH SOUTH","SO Koon-chung Kevin","","M","District Councillor","","7/10/2015","","SO KOON CHUNG KEVIN"
"K01","TAK WAH","LO Siu-kit","","M","Managing Director","","2/10/2015","","LO SIU KIT"
"K02","YEUNG UK ROAD","CHAN Han-pan","","M","Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","CHAN HAN PAN"
"K02","YEUNG UK ROAD","LAM Sek-tim","","M","Administrative Officer","Tsuen Wan Community Network","8/10/2015","","LAM SEK TIM"
"K03","HOI BUN","CHENG Pak-keung","","M","Editor","","5/10/2015","","CHENG PAK KEUNG"
"K03","HOI BUN","CHOW Ping-tim","","M","District Councilor","Independent","12/10/2015","","CHOW PING TIM"
"K04","CLAGUE GARDEN","KOO Yeung-pong","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","KOO YEUNG PONG"
"K04","CLAGUE GARDEN","TONG Wing-chi","","F","NGO Secretary¡Vgeneral","","2/10/2015","","TONG WING CHI"
"K05","FUK LOI","KOT Siu-yuen","","M","Elected Member","The Hong Kong Federation of Trading Unions","2/10/2015","","KOT SIU YUEN"
"K05","FUK LOI","SHEK William","","M","Officer","","15/10/2015","","SHEK WILLIAM"
"K06","DISCOVERY PARK","CHIU Yan-loy","","M","Legislative Assistant","Labour Party","2/10/2015","","CHIU YAN LOY"
"K06","DISCOVERY PARK","TIEN Michael Puk-sun","","M","Legislative Councillor","New People's Party","5/10/2015","","TIEN MICHAEL PUK SUN"
"K07","TSUEN WAN CENTRE","TSANG Tai","","M","Community Officer","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","TSANG TAI"
"K07","TSUEN WAN CENTRE","LI Hung-por","","M","","The Democratic Party","12/10/2015","","LI HUNG POR"
"K08","ALLWAY","LAM Yuen-pun","","F","Councillor/Registered Social Worker","","2/10/2015","","LAM YUEN PUN"
"K08","ALLWAY","Wong Yui-tak Louis","","M","Educator","The Democratic Party","8/10/2015","","WONG YUI TAK LOUIS"
"K09","LAI TO","WONG Wai-kit","","M","District Councilor/Registered Social Worker","Independent","2/10/2015","","WONG WAI KIT"
"K09","LAI TO","CHIU Pui-sze","Vicky","F","District Developer","Civic Party","12/10/2015","","CHIU PUI SZE"
"K10","TING SHAM","HA Hei-lok","","M","Community Officer","Labour Party","2/10/2015","","HA HEI LOK"
"K10","TING SHAM","CHENG Chit-pun","","M","*Community Development Officer","New People's Party","5/10/2015","","CHENG CHIT PUN"
"K10","TING SHAM","CHENG Shing-lung Edwin","","M","Current Affairs Program Host","","7/10/2015","","CHENG SHING LUNG EDWIN"
"K11","TSUEN WAN WEST","LAM Lam Nixie","","F","District Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LAM LAM NIXIE"
"K11","TSUEN WAN WEST","POON Chiu-lam","","M","Community Officer","Tsuen Wan Dynamic for the People","5/10/2015","","POON CHIU LAM"
"K11","TSUEN WAN WEST","CHU Shun-ming","","M","Director","","12/10/2015","","CHU SHUN MING"
"K12","TSUEN WAN RURAL","NG Hin-lung","","M","University Researcher","","6/10/2015","","NG HIN LUNG"
"K12","TSUEN WAN RURAL","CHAN Wai-ming","","M","District Councillor","","8/10/2015","","CHAN WAI MING"
"K13","MA WAN","WONG Chiu-wah Kevin","","M","*Community Development Officer","New People's Party","5/10/2015","","WONG CHIU WAH KEVIN"
"K13","MA WAN","TAM Hoi-pong","","M","Chief Executive","Neo Democrats","8/10/2015","","TAM HOI PONG"
"K13","MA WAN","LUK Wai-leung William","","M","Director","Third Side","12/10/2015","","LUK WAI LEUNG WILLIAM"
"K13","MA WAN","Tseng Wen-tien Justin","","M","Managing Director","Independent Candidate","12/10/2015","","TSENG WEN TIEN JUSTIN"
"K14","LUK YEUNG","LAM Faat-kang","","M","","","2/10/2015","","LAM FAAT KANG"
"K14","LUK YEUNG","WONG Pui-chi","","F","Community Officer","Neo Democrats","8/10/2015","","WONG PUI CHI"
"K15","LEI MUK SHUE EAST","LUI Dik-ming","","F","Artist","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LUI DIK MING"
"K15","LEI MUK SHUE EAST","CHAN Yuen-sum Sumly","","M","Registered Social Worker","Civic Party","8/10/2015","","CHAN YUEN SUM SUMLY"
"K16","LEI MUK SHUE WEST","TAM Tsz-fei","","F","Community Service Worker","The Hong Kong Federation of Trading Unions (FTU)","2/10/2015","","TAM TSZ FEI"
"K16","LEI MUK SHUE WEST","WONG Ka-wa","","M","Full Time District Councilor","Civic Party","8/10/2015","","WONG KA WA"
"K17","SHEK WAI KOK","MAN Yu-ming","","M","Insurance","New Territories Association of Societies/Federation of Public Housing Estate","2/10/2015","","MAN YU MING"
"K17","SHEK WAI KOK","LAI Man-fai","","M","Community Officer","","7/10/2015","","LAI MAN FAI"
"K18","CHEUNG SHEK","CHAN Chun-chung","","M","","Democratic Alliance for Betterment and Progress of Hong Kong","2/10/2015","","CHAN CHUN CHUNG"
"K18","CHEUNG SHEK","WONG Chi-shun Aden","","M","","Democratic Alliance","2/10/2015","","WONG CHI SHUN ADEN"
"K18","CHEUNG SHEK","CHAN Ka-wing","","M","Graphic Design","The Democratic Party","8/10/2015","","CHAN KA WING"
"L01","TUEN MUN TOWN CENTRE","CHIU Kam-moon","","M","","","12/10/2015","","CHIU KAM MOON"
"L01","TUEN MUN TOWN CENTRE","AU Chi-yuen","","M","Civil Engineer","","12/10/2015","","AU CHI YUEN"
"L02","SIU CHI","LI Ching-yee","","F","Businessman","DAB","2/10/2015","","LI CHING YEE"
"L02","SIU CHI","LAM Chung-hoi","","M","Full Time District Councillor","*The Democratic Party","2/10/2015","","LAM CHUNG HOI"
"L02","SIU CHI","WONG Ka-leung","","M","","","9/10/2015","","WONG KA LEUNG"
"L03","SIU TSUI","YIP Man-pan","","M","Legislative Councillor Assistant","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","YIP MAN PAN"
"L03","SIU TSUI","TANG Chun-to","","M","","The Democratic Party","2/10/2015","","TANG CHUN TO"
"L03","SIU TSUI","NG Hon-ying","","M","","","5/10/2015","","NG HON YING"
"L04","ON TING","FUNG Pui-yin","","M","","FTU","2/10/2015","","FUNG PUI YIN"
"L04","ON TING","KONG Fung-yi","","F","","ADPL","2/10/2015","","KONG FUNG YI"
"L05","YAU OI SOUTH","TSANG Hin-hong","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","TSANG HIN HONG"
"L05","YAU OI SOUTH","CHIN Po-fun","","F","","People Power","12/10/2015","","CHIN PO FUN"
"L06","YAU OI NORTH","CHAN Wan-sang","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","CHAN WAN SANG"
"L06","YAU OI NORTH","TAM Chun-yin","","M","Legislative Councilor Assistant","Labour Party","3/10/2015","","TAM CHUN YIN"
"L06","YAU OI NORTH","LAM Lap","","M","","","8/10/2015","","LAM LAP"
"L07","TSUI HING","CHU Yiu-wah","","M","","New People¡¦s Party","5/10/2015","","CHU YIU WAH"
"L08","SHAN KING","NG Koon-hung","","M","Full-time District Councillor","","2/10/2015","","NG KOON HUNG"
"L08","SHAN KING","HON Lai-yin","","M","","","14/10/2015","","HON LAI YIN"
"L09","KING HING","CHAN Yau-hoi","","M","","The Hong Kong Federation of Trade Unions","2/10/2015","","CHAN YAU HOI"
"L10","HING TSAK","TSUI Fan","","M","","The Hong Kong Federation of Trade Unions","2/10/2015","","TSUI FAN"
"L10","HING TSAK","CHAN Sze-nga","","F","","","15/10/2015","","CHAN SZE NGA"
"L11","SAN HUI","KWU Hon-keung","","M","","","2/10/2015","","KWU HON KEUNG"
"L11","SAN HUI","HO Hau-chun","","M","Cargo Officer","","14/10/2015","","HO HAU CHUN"
"L11","SAN HUI","HUI Cheuk-ho","","M","Village Representative","Independent","15/10/2015","","HUI CHEUK HO"
"L12","SAM SHING","SO Shiu-shing","","M","Business Man","New People¡¦s Party","2/10/2015","","SO SHIU SHING"
"L12","SAM SHING","LEE Kam-tim","","M","Travel Industry","","8/10/2015","","LEE KAM TIM"
"L13","HANFORD","CHU Shun-nga Beatrice","","F","District Council Member","The Democratic Party","2/10/2015","","CHU SHUN NGA BEATRICE"
"L13","HANFORD","NGAI Ka-ho","","M","Branch Manager of Finance Sector","","9/10/2015","","NGAI KA HO"
"L13","HANFORD","LI Kwai-fong","","F","Owner","Independent","13/10/2015","","LI KWAI FONG"
"L13","HANFORD","WONG Chak-wah","","M","Engineer","","15/10/2015","","WONG CHAK WAH"
"L14","FU SUN","LI Sai-keung","","M","Barrister-at-law","","2/10/2015","","LI SAI KEUNG"
"L14","FU SUN","TAI Yin-chiu","Thomas","M","Telecom","","2/10/2015","","TAI YIN CHIU"
"L14","FU SUN","HO Ying-sang","Chris","M","Retiree","","2/10/2015","","HO YING SANG"
"L14","FU SUN","KAM Man-fung","","M","","","2/10/2015","","KAM MAN FUNG"
"L14","FU SUN","CHEUNG Wai-kau","","M","Teacher","","13/10/2015","","CHEUNG WAI KAU"
"L14","FU SUN","LUNG Kang-san","","M","District Councillor","","15/10/2015","","LUNG KANG SAN"
"L15","YUET WU","CHEUNG Hang-fai","","M","Full-time District Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","CHEUNG HANG FAI"
"L15","YUET WU","YIP Lai-mei Natalie","","F","","","9/10/2015","","YIP LAI MEI NATALIE"
"L16","SIU HEI","YAN Siu-nam","","M","","ADPL","2/10/2015","","YAN SIU NAM"
"L16","SIU HEI","HAU Kwok-tung","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","HAU KWOK TUNG"
"L17","WU KING","LEUNG Kin-man","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LEUNG KIN MAN"
"L17","WU KING","CHOW Kai-lim","","M","Social Service","","14/10/2015","","CHOW KAI LIM"
"L18","BUTTERFLY","SO Oi-kwan","","F","","DAB","2/10/2015","","SO OI KWAN"
"L18","BUTTERFLY","YEUNG Chi-hang","","M","","ADPL","15/10/2015","","YEUNG CHI HANG"
"L19","LOK TSUI","HO Chun-yan","","M","Lawyer","The Democratic Party","2/10/2015","","HO CHUN YAN"
"L19","LOK TSUI","HO Kwan-yiu","","M","Solicitor","Independent","8/10/2015","","HO KWAN YIU"
"L19","LOK TSUI","YUEN Wai-chung","","M","Teacher","MESSAGE","8/10/2015","","YUEN WAI CHUNG"
"L19","LOK TSUI","CHEUNG Wing-wai","","M","","","12/10/2015","","CHEUNG WING WAI"
"L19","LOK TSUI","CHENG Chung-tai","","M","University Teacher","Civic Passion","14/10/2015","","CHENG CHUNG TAI"
"L19","LOK TSUI","SHUM Kam-tim","","M","","","15/10/2015","","SHUM KAM TIM"
"L20","LUNG MUN","LUNG Shui-hing","","F","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LUNG SHUI HING"
"L21","SAN KING","LEE Fung-sim","","F","Registered Financial Planner","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LEE FUNG SIM"
"L21","SAN KING","WONG Lai-sheung Catherine","","F","Full-time District Councilor","The Democratic Party","2/10/2015","","WONG LAI SHEUNG CATHERINE"
"L22","LEUNG KING","CHING Chi-hung","","F","Full Time District Councilor","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","CHING CHI HUNG"
"L22","LEUNG KING","KWUN Tung-wing","","M","","","7/10/2015","","KWUN TUNG WING"
"L23","TIN KING","LEE Hung-sham Lothar","","M","","FTU","2/10/2015","","LEE HUNG SHAM LOTHAR"
"L23","TIN KING","CHIU Kim-ling","","F","Childhood Educator","","9/10/2015","","CHIU KIM LING"
"L24","PO TIN","SO Ka-man","","F","Lawyer","New People¡¦s Party","2/10/2015","","SO KA MAN"
"L24","PO TIN","CHU Siu-hung","","M","Decoration Foreman","","15/10/2015","","CHU SIU HUNG"
"L25","KIN SANG","CHAN Man-wah","","M","Full-time District Council Member","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","CHAN MAN WAH"
"L25","KIN SANG","LAM Tsz-ching","","F","","","14/10/2015","","LAM TSZ CHING"
"L26","SIU HONG","MO Shing-fung","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","MO SHING FUNG"
"L26","SIU HONG","CHAN Shu-ying Josephine","","F","District Councillor","The Democratic Party","2/10/2015","","CHAN SHU YING JOSEPHINE"
"L26","SIU HONG","LAW Ho-yan","","F","Exhibition Sales - Assistant Director","","15/10/2015","","LAW HO YAN"
"L27","PRIME VIEW","HO Hang-mui","","F","Full-time District Councilor","The Democratic Party","2/10/2015","","HO HANG MUI"
"L27","PRIME VIEW","KWONG Man-tik","","M","Social Worker","","13/10/2015","","KWONG MAN TIK"
"L28","FU TAI","CHAN Manwell","","M","","The Hong Kong Federation of Trade Unions","2/10/2015","","CHAN MANWELL"
"L28","FU TAI","HO Wai-cheung","","M","University Student","Tuen Mun Community Concern Group","14/10/2015","","HO WAI CHEUNG"
"L29","TUEN MUN RURAL","TO Sheck-yuen","","M","Company Director","","2/10/2015","","TO SHECK YUEN"
"L29","TUEN MUN RURAL","TANG Tak-sum","","M","Retired Person","","12/10/2015","","TANG TAK SUM"
"M01","FUNG NIN","WONG Kwok-hung","","M","Community Officer","Democratic Alliance","2/10/2015","","WONG KWOK HUNG"
"M01","FUNG NIN","LUI Kin","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LUI KIN"
"M02","SHUI PIN","YUEN Man-yee","","F","Full-Time District Councilor","","2/10/2015","","YUEN MAN YEE"
"M03","NAM PING","WONG Wai-yin Zachary","","M","District Councillor","Democratic Party","2/10/2015","","WONG WAI YIN ZACHARY"
"M03","NAM PING","CHEUNG Fan-lan","","F","Registered Social Worker","DAB","9/10/2015","","CHEUNG FAN LAN"
"M03","NAM PING","CHAN Wai-yi","","F","Community Service","Independent Candidate","9/10/2015","","CHAN WAI YI"
"M04","PEK LONG","KWONG Chun-yu","","M","District Councillor","The Democratic Party","2/10/2015","","KWONG CHUN YU"
"M04","PEK LONG","WONG Yuk-chun","","F","*Assistant of Legislative Councilor","Democratic Alliance for the Betterment and Progress of Hong Kong","9/10/2015","","WONG YUK CHUN"
"M05","YUEN LONG CENTRE","LAM Ting-wai","","M","Community Officer","Democratic Alliance","2/10/2015","","LAM TING WAI"
"M05","YUEN LONG CENTRE","SIU Long-ming","","M","District Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","9/10/2015","","SIU LONG MING"
"M06","YUEN LUNG","WONG Wai-shun","","M","Solicitor","New People¡¦s Party","7/10/2015","","WONG WAI SHUN"
"M06","YUEN LUNG","CHONG Kin-shing","","M","Company Director/District Councilor","BPA","15/10/2015","","CHONG KIN SHING"
"M07","FUNG CHEUNG","MAK Ip-sing","","M","Full-Time District Councillor","Democratic Alliance","2/10/2015","","MAK IP SING"
"M07","FUNG CHEUNG","YU Chung-leung","","M","Certified Public Accountant","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","YU CHUNG LEUNG"
"M07","FUNG CHEUNG","WONG Wai","","M","","","15/10/2015","","WONG WAI"
"M08","SHAP PAT HEUNG EAST","SHUM Ho-kit","","M","Lawyer","","8/10/2015","","SHUM HO KIT"
"M09","SHAP PAT HEUNG CENTRAL","LEUNG Ming-kin","","M","Operational Manager","","5/10/2015","","LEUNG MING KIN"
"M10","SHAP PAT HEUNG WEST","CHING Chan-ming","","M","District Council Member","","5/10/2015","","CHING CHAN MING"
"M11","PING SHAN SOUTH","CHEUNG Muk-lam","","M","DC Member","New Territories Association of Societies","2/10/2015","","CHEUNG MUK LAM"
"M12","PING SHAN CENTRAL","TANG Hing-ip","","M","","","2/10/2015","","TANG HING IP"
"M13","PING SHAN NORTH","TANG Tat-sin","","M","Merchant","","5/10/2015","","TANG TAT SIN"
"M13","PING SHAN NORTH","YOUNG Ka-on","","M","Trader","","8/10/2015","","YOUNG KA ON"
"M14","HA TSUEN","TANG Ka-leung","","M","District Councillor","","2/10/2015","","TANG KA LEUNG"
"M14","HA TSUEN","CHENG Kam-ho","","M","Retired","","15/10/2015","","CHENG KAM HO"
"M15","TIN SHING","CHAN Sze-ching","","M","Full Time District Councillor","New People¡¦s Party","2/10/2015","","CHAN SZE CHING"
"M15","TIN SHING","LEUNG Yip-pang","","M","","","15/10/2015","","LEUNG YIP PANG"
"M16","SHUI OI","KWOK Keung","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","KWOK KEUNG"
"M16","SHUI OI","CHAU Tsz-ki","","M","Head of Charity","","12/10/2015","","CHAU TSZ KI"
"M17","SHUI WAH","CHOW Wing-kan","","M","*District Councilor","Liberal Party","2/10/2015","","CHOW WING KAN"
"M17","SHUI WAH","KO Chun-kit","","M","District Councillor Assistant","DAB","9/10/2015","","KO CHUN KIT"
"M18","CHUNG WAH","WONG Wai-ling","","F","District Councilor","Democratic Alliance for the Betterment and Progress of Hong Kong","9/10/2015","","WONG WAI LING"
"M18","CHUNG WAH","CHAN Ka-kui","","M","","","13/10/2015","","CHAN KA KUI"
"M19","YUET YAN","CHIU Sau-han","","F","","","2/10/2015","","CHIU SAU HAN"
"M20","FU YAN","LAU Kwai-yung","","F","Elected District Council Member","The Hong Kong Federation Trade Unions","2/10/2015","","LAU KWAI YUNG"
"M20","FU YAN","KEUNG Kwok-wai","","M","Councillor Assistant","Labour Party","2/10/2015","","KEUNG KWOK WAI"
"M21","YAT CHAK","WONG Yu-choi","","M","Merchant","","2/10/2015","","WONG YU CHOI"
"M21","YAT CHAK","KWOK Hing-ping","","M","District Council Member","","3/10/2015","","KWOK HING PING"
"M21","YAT CHAK","WONG Yuen-fai","","M","Contractor","","7/10/2015","","WONG YUEN FAI"
"M22","TIN HENG","LUK Chung-hung","Michael","M","Elected District Council Member","HKFTU","2/10/2015","","LUK CHUNG HUNG"
"M22","TIN HENG","WONG Pak-yu","","M","Community Executive","Tin Shui Wai New Force","5/10/2015","","WONG PAK YU"
"M22","TIN HENG","CHEUNG Kwok-tung","","M","","","7/10/2015","","CHEUNG KWOK TUNG"
"M23","WANG YAT","YIU Kwok-wai","","M","Elected District Council Member","The Hong Kong Federation Trade Unions","2/10/2015","","YIU KWOK WAI"
"M24","CHING KING","TANG Cheuk-him","","M","Full-time District Council Member","F.T.U.","2/10/2015","","TANG CHEUK HIM"
"M24","CHING KING","SO Wing-chau","","M","Locksmith","","13/10/2015","","SO WING CHAU"
"M25","KINGSWOOD NORTH","LEE Yuet-man","","M","Social Worker","","10/10/2015","","LEE YUET MAN"
"M25","KINGSWOOD NORTH","HO Wai-fong Polly","","F","Registered Social Worker","","13/10/2015","","HO WAI FONG POLLY"
"M26","TSZ YAU","CHAN Mei-lin","","F","Yuen Long District Council Councillor","","5/10/2015","","CHAN MEI LIN"
"M26","TSZ YAU","CHING Yung-fai","","M","Lecturer- Finance & Investment","Democratic Alliance for the Betterment and Progress of Hong Kong","9/10/2015","","CHING YUNG FAI"
"M27","YIU YAU","MA Shuk-yin","","F","Community Services","Democratic Alliance for the Betterment and Progress of Hong Kong","9/10/2015","","MA SHUK YIN"
"M27","YIU YAU","WONG Pui-yin Agatha","","F","Councillor Assistant/Community Officer","","9/10/2015","","WONG PUI YIN AGATHA"
"M28","TIN YIU","LEUNG Chin-hang","Pliskin","M","Student Tutor","","5/10/2015","","LEUNG CHIN HANG"
"M28","TIN YIU","LEUNG Che-cheung","","M","Full-time Council Member","*Democratic Alliance for the Betterment and Progress of Hong Kong/NTAS","9/10/2015","","LEUNG CHE CHEUNG"
"M29","KINGSWOOD SOUTH","NG Yuk-ying","Katy","F","Community Officer","The Democratic Party","2/10/2015","","NG YUK YING"
"M29","KINGSWOOD SOUTH","CHAM Ka-hung Daniel","","M","","","2/10/2015","","CHAM KA HUNG DANIEL"
"M30","CHUNG PAK","WONG Cheuk-kin","","M","District Councillor","*New People's Party","2/10/2015","","WONG CHEUK KIN"
"M30","CHUNG PAK","MOK Yim-hay","","M","Retire","","5/10/2015","","MOK YIM HAY"
"M31","FAIRVIEW PARK","YAU Tai-tai","","F","District Councillor","","5/10/2015","","YAU TAI TAI"
"M31","FAIRVIEW PARK","LEUNG Wai-kwan","","M","Strategic Partner","","14/10/2015","","LEUNG WAI KWAN"
"M31","FAIRVIEW PARK","TO Ka-lun","","M","Information Technology","","15/10/2015","","TO KA LUN"
"M32","SAN TIN","MAN Kwong-ming","","M","Full Time San Tin District Council Member","","5/10/2015","","MAN KWONG MING"
"M32","SAN TIN","MAN Kwai-ki","","M","","","9/10/2015","","MAN KWAI KI"
"M33","KAM TIN","TANG Cheuk-yin","","M","Businessman","","5/10/2015","","TANG CHEUK YIN"
"M34","PAT HEUNG NORTH","TANG Yung-yiu Ronnie","","M","PHN-Chairman","","6/10/2015","","TANG YUNG YIU RONNIE"
"M34","PAT HEUNG NORTH","TANG Chi-kwong","","M","","","12/10/2015","","TANG CHI KWONG"
"M35","PAT HEUNG SOUTH","LAI Wai-hung","","M","District Councilor","","2/10/2015","","LAI WAI HUNG"
"M35","PAT HEUNG SOUTH","LEUNG Ho-sum","","M","","","12/10/2015","Withdrawn on 13.10.2015","LEUNG HO SUM"
"M35","PAT HEUNG SOUTH","CHU Hoi-dick Eddie","","M","Community Organizer","Land Justice League","14/10/2015","","CHU HOI DICK EDDIE"
"N01","LUEN WO HUI","LAW Sai-yan","","M","Full Time District Councilor","The Democratic Party","2/10/2015","","LAW SAI YAN"
"N01","LUEN WO HUI","LIU Ming-kin","Andy","M","District Assistant","Liberal Party","3/10/2015","","LIU MING KIN"
"N01","LUEN WO HUI","TSANG Hing-lung","","M","Assistant of Legislative Councillor","DAB","9/10/2015","","TSANG HING LUNG"
"N02","FANLING TOWN","PANG Chun-sing George","","M","Registered Professional Engineer","Independent","2/10/2015","","PANG CHUN SING GEORGE"
"N02","FANLING TOWN","WONG Chun-ning","","M","","Third Side","9/10/2015","","WONG CHUN NING"
"N03","CHEUNG WAH","CHAN Yuk-ming","","M","Community Organizer","The Democratic Party","2/10/2015","","CHAN YUK MING"
"N03","CHEUNG WAH","YUEN Hoi-wai Feder","","M","Social Worker","Non-affiliated Candidate","5/10/2015","","YUEN HOI WAI FEDER"
"N03","CHEUNG WAH","YIP Yiu-shing Chris","","M","District Councilor","Independent","8/10/2015","","YIP YIU SHING CHRIS"
"N03","CHEUNG WAH","WONG Ka-ho","","M","Graphic Designer","North of The Rings","10/10/2015","","WONG KA HO"
"N04","WAH DO","YIU Ming","","M","District Council Member/Financial Planning Manager","DAB/NTAS","9/10/2015","","YIU MING"
"N05","WAH MING","CHAN Wai-tat","","M","","Neo Democrats","3/10/2015","","CHAN WAI TAT"
"N05","WAH MING","LAI Sum","","M","Full Time District Councillor","DAB","9/10/2015","","LAI SUM"
"N06","YAN SHING","LAU Kwok-fan","","M","District Councillor","DAB","9/10/2015","","LAU KWOK FAN"
"N07","SHING FUK","WAN Wo-tat Warwick","","M","Elected District Councillor","The Hong Kong Federation of Trade Unions","2/10/2015","","WAN WO TAT WARWICK"
"N08","FANLING SOUTH","HO Shu-kwong Raymond","","M","Chief Executive Officer","*Independent Candidate","2/10/2015","","HO SHU KWONG RAYMOND"
"N08","FANLING SOUTH","WONG Sing-chi","","M","Social Worker","Third Side","12/10/2015","","WONG SING CHI"
"N09","CHING HO","LARM Wai-leung","","M","","DAB","9/10/2015","","LARM WAI LEUNG"
"N10","YU TAI","TSANG King-chung Kent","","M","District Councillor","The Hong Kong Federation of Trade Unions","2/10/2015","","TSANG KING CHUNG KENT"
"N10","YU TAI","HAU Wing-kong Alvan","","M","Merchant","Liberal Party","5/10/2015","","HAU WING KONG ALVAN"
"N10","YU TAI","SHEK Fong-yau","","M","Fitness Trainer","","15/10/2015","","SHEK FONG YAU"
"N11","SHEUNG SHUI RURAL","HAU Fuk-tat Simon","","M","Merchant","Independent Candidate","5/10/2015","","HAU FUK TAT SIMON"
"N11","SHEUNG SHUI RURAL","HAU Kam-lam","","M","Full Time District Councilor","DAB","9/10/2015","","HAU KAM LAM"
"N12","CHOI YUEN","SO Sai-chi","","M","Full Time District Councillor","DAB","9/10/2015","","SO SAI CHI"
"N12","CHOI YUEN","LEUNG Kam-shing Clarence Ronald","","M","Warehouse Supervisor","North District Parallel Imports Concern Group","14/10/2015","","LEUNG KAM SHING CLARENCE RONALD"
"N13","SHEK WU HUI","LAM Cheuk-ting","","M","Chief Executive","The Democratic Party","2/10/2015","","LAM CHEUK TING"
"N13","SHEK WU HUI","LAU Hon-kin","","M","","","7/10/2015","","LAU HON KIN"
"N13","SHEK WU HUI","WONG Yun-keung Simon","","M","Teacher","DAB","9/10/2015","","WONG YUN KEUNG SIMON"
"N14","TIN PING WEST","WONG Wang-to","","M","District Councilor","The Hong Kong Federation of Trade Unions","2/10/2015","","WONG WANG TO"
"N14","TIN PING WEST","POON Tak-wing","","M","Retired Businessman","The Democratic Party","2/10/2015","","POON TAK WING"
"N14","TIN PING WEST","LEE Ching-hei","","M","","Civic Passion","14/10/2015","","LEE CHING HEI"
"N15","FUNG TSUI","LIU Kwok-wah","","M","District Councillor","","8/10/2015","","LIU KWOK WAH"
"N15","FUNG TSUI","LIU Hing-hung","","M","Merchant","DAB","9/10/2015","","LIU HING HUNG"
"N15","FUNG TSUI","YU Man-kwong","","M","Safety Officer","","13/10/2015","","YU MAN KWONG"
"N16","SHA TA","CHU Oi-ping","","M","","","6/10/2015","","CHU OI PING"
"N16","SHA TA","WAN Wo-fai","","M","Merchant","DAB","9/10/2015","","WAN WO FAI"
"N16","SHA TA","TSANG Yuk-on","","M","Retired Teacher","","12/10/2015","","TSANG YUK ON"
"N16","SHA TA","CHEUNG Kwai-choi","","M","*Community Officer","","12/10/2015","","CHEUNG KWAI CHOI"
"N17","TIN PING EAST","LAU Ki-fung","","M","Community Development Officer","The Democratic Party","2/10/2015","","LAU KI FUNG"
"N17","TIN PING EAST","OR Sin-yi Windy","","F","District Council Member","DAB","9/10/2015","","OR SIN YI WINDY"
"N17","TIN PING EAST","YU Chi-shing Paul","","M","Executive","Independent Candidate","14/10/2015","","YU CHI SHING PAUL"
"N18","QUEEN'S HILL","TANG Kun-nin Tony","","M","Merchant","DAB","9/10/2015","","TANG KUN NIN TONY"
"P01","TAI PO HUI","LI Kwok-ying","","M","Solicitor","DAB","8/10/2015","","LI KWOK YING"
"P01","TAI PO HUI","CHOY Wing-mui Molly","","F","Housewife","","15/10/2015","","CHOY WING MUI MOLLY"
"P02","TAI PO CENTRAL","AU Chun-wah","","M","Full Time District Councillor/Senior Community Worker","The Democratic Party","5/10/2015","","AU CHUN WAH"
"P02","TAI PO CENTRAL","MUI Siu-fung","","M","","DAB","8/10/2015","","MUI SIU FUNG"
"P02","TAI PO CENTRAL","Man Wai-keung","","M","Photographer","Independent","12/10/2015","","MAN WAI KEUNG"
"P03","CHUNG TING","LUI Nok","","M","Councillor's Assistant/Part Time Interior Designer","The Democratic Party","5/10/2015","","LUI NOK"
"P03","CHUNG TING","TAM Wing-fun Eric","","M","Social Worker","DAB","8/10/2015","","TAM WING FUN ERIC"
