ConstituencyCode,Constituency,Candidate,Politics,Camp
R36,BIK WOO,WONG PING FAN,DAB,B
R37,KWONG HONG,WONG FU SANG,DAB,B
R37,KWONG HONG,NG WAI LING,Labour Party,D
R37,KWONG HONG,CHOI CHUN CHIU PAUL,Independent Person,
R38,KWONG YUEN,CHAN MAN KUEN,New People・s Party/ Civil Force,B
R38,KWONG YUEN,SUNG TSZ MING,Labour Party,D
S01,KWAI HING,LEUNG CHI HO,F.T.U.,B
S01,KWAI HING,LEUNG CHI SHING,The Neighbourhood and Workers・ Service Centre,D
S02,KWAI SHING EAST ESTATE,MO SANG TUNG,DAB,B
S02,KWAI SHING EAST ESTATE,LEUNG KWONG CHEONG,Independent,
S02,KWAI SHING EAST ESTATE,CHOW WAI HUNG RAYMAN,Neighbourhood and Workers・ Service Centre,D
S02,KWAI SHING EAST ESTATE,CHAN YUK LING,,
S03,UPPER TAI WO HAU,HUI KEI CHEUNG,Democratic Party,D
S03,UPPER TAI WO HAU,LAU CHIN PANG,FTU,B
S04,LOWER TAI WO HAU,WONG BING KUEN,The Democratic Party,D
S04,LOWER TAI WO HAU,CHEUNG WAI MAN,FTU,B
S05,KWAI CHUNG ESTATE NORTH,LEUNG KONG MING,DAB,B
S05,KWAI CHUNG ESTATE NORTH,LEUNG KAM WAI,Neighbourhood and Workers・ Service Centre,D
S06,KWAI CHUNG ESTATE SOUTH,LEE WANG FUNG,DAB,B
S06,KWAI CHUNG ESTATE SOUTH,WONG YUN TAT,Neighbourhood and Workers・ Service Centre,D
S07,SHEK YAM,LI SAI LUNG,DAB,B
S07,SHEK YAM,WAN SIU KIN ANDREW,The Democratic Party,D
S08,ON YAM,LEUNG TSZ WING DENNIS,The Hong Kong Federation of Trade Unions (FTU),B
S08,ON YAM,LEUNG WING KUEN,The Democratic Party,D
S09,SHEK LEI SOUTH,NG KA CHIU,New People's Party,B
S09,SHEK LEI SOUTH,LEUNG KWOK WAH,The Democratic Party,D
S10,SHEK LEI NORTH,CHEUNG IP MEI,DAB,B
S10,SHEK LEI NORTH,LAM SIU FAI,The Democratic Party,D
S11,TAI PAK TIN,KWOK FU YUNG,DAB,B
S11,TAI PAK TIN,TSUI SANG HUNG SAMMY,The Democratic Party,D
S12,KWAI FONG,CHAN MAN LUEN YING,HKFLU,
S12,KWAI FONG,LEUNG YIU CHUNG,Neighbourhood & Worker・s Service Centre,D
S13,WAH LAI,WONG YIU CHUNG,BPA,B
S13,WAH LAI,TAI PUI SHAN CHRISTABEL DONNA,,
S13,WAH LAI,YUEN KWOK KI,Independent Candidate,
S14,LAI WAH,CHU LAI LING,DAB,B
S15,CHO YIU,PAU MING HONG,DAB,B
S15,CHO YIU,LO WAI LAN,*BPA,B
S15,CHO YIU,CHAN TAK CHEUNG,League of Social Democrats,D
S16,HING FONG,NG KIM SING,The Democratic Party,D
S16,HING FONG,LEUNG KAR MING,DAB,B
S17,LAI KING,CHOW YICK HAY,Independent Candidate,
S18,KWAI SHING WEST ESTATE,LAU MEI LO,The Hong Kong Federation of Trade Unions,B
S18,KWAI SHING WEST ESTATE,LEUNG CHING SHAN,Neighbourhood & Worker・s Service Centre,D
S19,ON HO,TAM WAI CHUN,BPA,B
S19,ON HO,LAU SIU HANG,The Democratic Party,D
S20,WAI YING,MAK MEI KUEN ALICE,HKFTU,B
S21,TSING YI ESTATE,CHENG HIU LING(ELAINE),,
S21,TSING YI ESTATE,CHAN SIU MAN SIMON,Independent Candidate,
S21,TSING YI ESTATE,YU LAP ON,*Non-affiliated Candidate,
S21,TSING YI ESTATE,CHIU CHIT UE(UNY),Independent,
S22,GREENFIELD,CHEUNG WAI CHING CLARICE,,
S22,GREENFIELD,POON SIU PING NANCY,,
S23,CHEUNG CHING,LEE CHI KEUNG ALAN,*BPA,B
S23,CHEUNG CHING,WONG KWONG MO,Democratic Party,D
S24,CHEUNG HONG,TSUI HIU KIT,New People's Party,B
S25,SHING HONG,LEUNG WAI MAN,DAB,B
S25,SHING HONG,FU MOON FONG FERDINAND,,
S26,TSING YI SOUTH,POON CHI SHING,DAB,B
S26,TSING YI SOUTH,IP YAM SHEK JOHNATHAN,Young Spiration,D
S27,CHEUNG HANG,LAM LAP CHI,The Democratic Party,D
S27,CHEUNG HANG,HA LUNG WAN,,
S27,CHEUNG HANG,LO YUEN TING,DAB,B
S27,CHEUNG HANG,LUI KO WAI,Independent,
S28,CHING FAT,LEE HON SAM,Ching Fat Living Concern,D
S28,CHING FAT,LAM CHUI LING NANCY,Independent,
S28,CHING FAT,LAU CHI KIT,The Democratic Party,D
S28,CHING FAT,WONG KIN LONG,,
S29,CHEUNG ON,LAW KING SHING,DAB,B
S29,CHEUNG ON,HO CHI WAI,The Democratic Party,D
S29,CHEUNG ON,WONG CHUN KIT,Youngspiration,D
T01,LANTAU,YU HON KWAN(RANDY),,
T01,LANTAU,YUEN YUK WAH,,
T01,LANTAU,LAU KING CHEUNG,,
T01,LANTAU,TAM SAU NGOR,,
T02,YAT TUNG ESTATE NORTH,TANG KA PIU,F.T.U,B
T02,YAT TUNG ESTATE NORTH,LEUNG HON WAI(JIMMY),,
T03,YAT TUNG ESTATE SOUTH,LO KWONG SHING ANDY,DAB,B
T03,YAT TUNG ESTATE SOUTH,KWOK PING,Democratic Party,D
T04,TUNG CHUNG NORTH,YU CHUN CHEUNG PETER,Civic Party,D
T04,TUNG CHUNG NORTH,FU HIU LAM SAMMI,New People's Party,B
T05,TUNG CHUNG SOUTH,CHOW HO DING HOLDEN,DAB,B
T05,TUNG CHUNG SOUTH,WONG CHUN YEUNG,,
T06,DISCOVERY BAY,CHIU TAK WAI(FRANCIS),,
T06,DISCOVERY BAY,YUNG WING SHEUNG AMY(AMY YUNG),Civic Party,D
T06,DISCOVERY BAY,HU ZILIANG(JIMMY),,
T07,PENG CHAU & HEI LING CHAU,TSANG SAU HO JOSEPHINE,,
T08,LAMMA & PO TOI,YU LAI FAN,DAB,B
T08,LAMMA & PO TOI,GOHEL RAJEN INDULAL,,
T08,LAMMA & PO TOI,CHENG CHI WAH,,
T09,CHEUNG CHAU SOUTH,KWONG KOON WAN,BPA,B
T09,CHEUNG CHAU SOUTH,LEUNG KWOK HO,,
T09,CHEUNG CHAU SOUTH,LAM KIT SING,,
T10,CHEUNG CHAU NORTH,LEE KWAI CHUN,DAB,B
T10,CHEUNG CHAU NORTH,KWONG WAI KUEN,,
